bond	id	label_mutagenic
http://dl-learner.org/carcinogenesis#d307	318.0	0.0
http://dl-learner.org/carcinogenesis#d53	319.0	0.0
http://dl-learner.org/carcinogenesis#d68	321.0	0.0
http://dl-learner.org/carcinogenesis#d149	322.0	0.0
http://dl-learner.org/carcinogenesis#d201	323.0	1.0
http://dl-learner.org/carcinogenesis#d47	325.0	0.0
http://dl-learner.org/carcinogenesis#d197	327.0	1.0
http://dl-learner.org/carcinogenesis#d87	328.0	0.0
http://dl-learner.org/carcinogenesis#d60	329.0	0.0
http://dl-learner.org/carcinogenesis#d69	330.0	1.0
http://dl-learner.org/carcinogenesis#d141	331.0	0.0
http://dl-learner.org/carcinogenesis#d8	332.0	0.0
http://dl-learner.org/carcinogenesis#d258	333.0	1.0
http://dl-learner.org/carcinogenesis#d196	334.0	0.0
http://dl-learner.org/carcinogenesis#d55	335.0	0.0
http://dl-learner.org/carcinogenesis#d145	336.0	1.0
http://dl-learner.org/carcinogenesis#d94	337.0	0.0
http://dl-learner.org/carcinogenesis#d175	338.0	0.0
http://dl-learner.org/carcinogenesis#d34	339.0	0.0
http://dl-learner.org/carcinogenesis#d114	340.0	0.0
